-2.190136e+00  1.429677e-02
-2.188164e+00  1.716785e-02
-2.185796e+00  2.061832e-02
-2.182956e+00  2.476640e-02
-2.179547e+00  2.975493e-02
-2.175456e+00  3.575686e-02
-2.170548e+00  4.298192e-02
-2.164657e+00  5.168495e-02
-2.157588e+00  6.217648e-02
-2.149106e+00  7.483596e-02
-2.138927e+00  9.012885e-02
-2.126713e+00  1.086286e-01
-2.112055e+00  1.310456e-01
-2.094466e+00  1.582654e-01
-2.073360e+00  1.914004e-01
-2.048032e+00  2.318610e-01
-2.017638e+00  2.814548e-01
-1.981166e+00  3.425292e-01
-1.937399e+00  4.181785e-01
-1.884879e+00  5.125554e-01
-1.821854e+00  6.313478e-01
-1.746225e+00  7.825327e-01
-1.655470e+00  9.775969e-01
-1.546564e+00  1.233582e+00
-1.415877e+00  1.576619e+00
-1.259052e+00  2.048268e+00
-1.070863e+00  2.717351e+00
-8.450353e-01  3.703067e+00
-5.740424e-01  5.222522e+00
-2.488508e-01  7.694359e+00
1.413790e-01  1.198046e+01
6.096548e-01  1.999507e+01
1.171586e+00  3.638422e+01
1.845903e+00  7.366438e+01
2.655084e+00  1.699862e+02
3.626100e+00  4.600194e+02
4.791320e+00  1.510284e+03
6.189584e+00  6.262774e+03
