# column 1: wavelength (micron)
# column 2: specific luminosity (W/Hz)
# column 3: luminosity in bin (Lsun)
# column 4: luminosity fraction for source 1 (1)
9.000000000e-02 4.689261278e+17 2.882910317e+05 1.000000000e+00
9.660680886e-02 1.869542915e+18 1.070771769e+06 1.000000000e+00
1.036986169e-01 1.900301795e+18 1.013955336e+06 1.000000000e+00
1.113110273e-01 1.948303585e+18 9.684732927e+05 1.000000000e+00
1.194822571e-01 1.720089412e+18 7.965569194e+05 1.000000000e+00
1.282533286e-01 1.890831668e+18 8.157431435e+05 1.000000000e+00
1.376682756e-01 1.749501681e+18 7.031527859e+05 1.000000000e+00
1.477743643e-01 1.645362915e+18 6.160724882e+05 1.000000000e+00
1.586223307e-01 1.488483565e+18 5.192170283e+05 1.000000000e+00
1.702666354e-01 1.493061018e+18 4.851960011e+05 1.000000000e+00
1.827657366e-01 1.416236561e+18 4.287560200e+05 1.000000000e+00
1.961823843e-01 1.311757273e+18 3.699667399e+05 1.000000000e+00
2.105839344e-01 1.286314847e+18 3.379801989e+05 1.000000000e+00
2.260426878e-01 1.220717691e+18 2.988092145e+05 1.000000000e+00
2.426362526e-01 1.122332550e+18 2.559381808e+05 1.000000000e+00
2.604479342e-01 1.029950246e+18 2.188086762e+05 1.000000000e+00
2.795671533e-01 9.274247615e+17 1.835531124e+05 1.000000000e+00
3.000898949e-01 8.522844216e+17 1.571456592e+05 1.000000000e+00
3.221191902e-01 7.729220105e+17 1.327664327e+05 1.000000000e+00
3.457656338e-01 7.142083417e+17 1.142910711e+05 1.000000000e+00
3.711479388e-01 6.109688459e+17 9.108381715e+04 1.000000000e+00
3.983935331e-01 6.390972285e+17 8.876134291e+04 1.000000000e+00
4.276391989e-01 5.940605485e+17 7.686389972e+04 1.000000000e+00
4.590317595e-01 5.054637360e+17 6.092793776e+04 1.000000000e+00
4.927288161e-01 4.378823156e+17 4.917208849e+04 1.000000000e+00
5.288995395e-01 4.012887804e+17 4.198102507e+04 1.000000000e+00
5.677255191e-01 3.601742117e+17 3.510293327e+04 1.000000000e+00
6.094016745e-01 3.294466295e+17 2.991235702e+04 1.000000000e+00
6.541372343e-01 2.948535295e+17 2.494058699e+04 1.000000000e+00
7.021567862e-01 2.691070124e+17 2.120606691e+04 1.000000000e+00
7.537014048e-01 2.446678755e+17 1.796167510e+04 1.000000000e+00
8.090298617e-01 2.099933381e+17 1.436184302e+04 1.000000000e+00
8.684199246e-01 1.863840781e+17 1.187539984e+04 1.000000000e+00
9.321697518e-01 1.587004288e+17 9.420030397e+03 1.000000000e+00
1.000599389e+00 1.381705289e+17 7.640546037e+03 1.000000000e+00
1.074052377e+00 1.233649014e+17 6.355289894e+03 1.000000000e+00
1.152897474e+00 1.083348210e+17 5.199320540e+03 1.000000000e+00
1.237530511e+00 9.492052680e+16 4.243981040e+03 1.000000000e+00
1.328376372e+00 8.312698135e+16 3.462502359e+03 1.000000000e+00
1.425891136e+00 7.277511458e+16 2.824006804e+03 1.000000000e+00
1.530564361e+00 6.363349011e+16 2.300399991e+03 1.000000000e+00
1.642921540e+00 5.561855118e+16 1.873147850e+03 1.000000000e+00
1.763526747e+00 5.000913321e+16 1.569048928e+03 1.000000000e+00
1.892985460e+00 4.425379235e+16 1.293517849e+03 1.000000000e+00
2.031947605e+00 3.933106802e+16 1.071007334e+03 1.000000000e+00
2.181110821e+00 3.486638754e+16 8.845012089e+02 1.000000000e+00
2.341223958e+00 3.093015415e+16 7.309847809e+02 1.000000000e+00
2.513090838e+00 2.723617056e+16 5.996627453e+02 1.000000000e+00
2.697574291e+00 2.392925990e+16 4.908231777e+02 1.000000000e+00
2.895600488e+00 2.090406090e+16 3.994489014e+02 1.000000000e+00
3.108163587e+00 1.821309589e+16 3.242269538e+02 1.000000000e+00
3.336330729e+00 1.585413525e+16 2.629315329e+02 1.000000000e+00
3.581247389e+00 1.377238713e+16 2.127865188e+02 1.000000000e+00
3.844143133e+00 1.197372064e+16 1.723450370e+02 1.000000000e+00
4.126337788e+00 1.040936851e+16 1.395818071e+02 1.000000000e+00
4.429248066e+00 9.025788211e+15 1.127520235e+02 1.000000000e+00
4.754394681e+00 7.853440061e+15 9.139741490e+01 1.000000000e+00
5.103409980e+00 6.811040022e+15 7.384518518e+01 1.000000000e+00
5.478046138e+00 5.930151956e+15 5.989758969e+01 1.000000000e+00
5.880183958e+00 5.143859358e+15 4.840245423e+01 1.000000000e+00
6.311842307e+00 4.473299392e+15 3.921399020e+01 1.000000000e+00
6.775188259e+00 3.882619754e+15 3.170828132e+01 1.000000000e+00
7.272547968e+00 3.368928675e+15 2.563152417e+01 1.000000000e+00
7.806418350e+00 2.923011599e+15 2.071800470e+01 1.000000000e+00
8.379479615e+00 2.535515489e+15 1.674242759e+01 1.000000000e+00
8.994608728e+00 2.199204418e+15 1.352858995e+01 1.000000000e+00
9.654893846e+00 1.907102082e+15 1.092938305e+01 1.000000000e+00
1.036364983e+01 1.653012788e+15 8.825365351e+00 1.000000000e+00
1.112443486e+01 1.432361129e+15 7.124325926e+00 1.000000000e+00
1.194106836e+01 1.241163056e+15 5.751152262e+00 1.000000000e+00
1.281765010e+01 1.075486971e+15 4.642650081e+00 1.000000000e+00
1.375858081e+01 9.319260828e+14 3.747805447e+00 1.000000000e+00
1.476858430e+01 8.075283541e+14 3.025437073e+00 1.000000000e+00
1.585273111e+01 6.997357997e+14 2.442301131e+00 1.000000000e+00
1.701646405e+01 6.063318852e+14 1.971561354e+00 1.000000000e+00
